period,day_ahead_forecast_MW,total_demand_MW,net_generation_MW,total_interchange_MW,gen_col_MW,gen_ng_MW,gen_nuc_MW,gen_oil_MW,gen_oth_MW,gen_sun_MW,gen_wat_MW,gen_wnd_MW,net_load_MW,renewable_ratio,price_USD_MWh,hour,day_of_week,month,day_of_year,is_weekend,week_of_year,hour_sin,hour_cos,month_sin,month_cos,dow_sin,dow_cos,netload_lag24h,demand_lag24h,netload_lag48h,demand_lag48h,netload_lag72h,demand_lag72h,netload_lag168h,demand_lag168h,solar_lag24h,solar_lag168h,wind_lag24h,wind_lag168h,yesterday_demand_mean,yesterday_demand_max,yesterday_demand_min,yesterday_demand_std,yesterday_netload_mean,yesterday_solar_mean,demand_trend_24h,netload_trend_24h,forecast_error_lag24h,price_lag24h
2023-01-08 00:00:00,22357.0,22131.0,18155.0,-4154.0,6.0,19184.0,4466.0,168.0,-4.0,6332.0,4706.0,1452.0,14347.0,0.3517238263069902,124.23947520055108,0,6,1,8,1,1,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,16955.0,23297.0,19474.0,25477.0,20963.0,25564.0,19658.0,24007.0,5680.0,954.0,662.0,3395.0,24271.041666666668,27834.0,21645.0,1954.904100375959,19605.958333333332,2738.5833333333335,-2180.0,-2519.0,422.0,129.40635763438195
2023-01-08 01:00:00,23579.0,22930.0,17761.0,-5360.0,4.0,10436.0,2233.0,84.0,847.0,369.0,3060.0,728.0,21833.0,0.04784125599651112,213.6409471871332,1,6,1,8,1,1,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,22059.0,23581.0,21970.0,25253.0,23417.0,25674.0,21089.0,24546.0,856.0,73.0,666.0,3384.0,24201.375,27834.0,21645.0,1948.16952687256,19609.666666666668,2745.1666666666665,-1672.0,89.0,2042.0,204.690012383871
2023-01-08 02:00:00,25718.0,24079.0,18728.0,-6126.0,3.0,11034.0,2230.0,83.0,1387.0,-54.0,3265.0,779.0,23354.0,0.03010922380497529,231.70799537773487,2,6,1,8,1,1,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,24543.0,25216.0,22575.0,25931.0,25062.0,26690.0,22133.0,25344.0,-36.0,-25.0,709.0,3236.0,24171.583333333332,27834.0,21645.0,1925.9096533206578,19691.666666666668,2744.8333333333335,-715.0,1968.0,2493.0,234.51047473543179
2023-01-08 03:00:00,25915.0,25792.0,18708.0,-6008.0,3.0,10592.0,2212.0,82.0,1323.0,-49.0,3447.0,1098.0,24743.0,0.04067152605459057,248.80019128845257,3,6,1,8,1,1,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,26463.0,27226.0,24179.0,27614.0,27085.0,28147.0,23452.0,26468.0,-48.0,-25.0,811.0,3041.0,24155.416666666668,27834.0,21645.0,1897.1706603499924,19786.833333333332,2744.2916666666665,-388.0,2284.0,434.0,261.9908038690273
2023-01-08 04:00:00,25282.0,25704.0,18293.0,-6042.0,3.0,10453.0,2217.0,84.0,1013.0,-49.0,3264.0,1308.0,24445.0,0.0489807033924681,247.39674690994616,4,6,1,8,1,1,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,26348.0,27141.0,24515.0,27834.0,26531.0,28017.0,23326.0,26047.0,-48.0,-27.0,841.0,2748.0,24126.541666666668,27301.0,21645.0,1843.255885398998,19863.208333333332,2743.7916666666665,-693.0,1833.0,-179.0,265.85703622459715
2023-01-08 05:00:00,24561.0,25348.0,17682.0,-6190.0,3.0,10628.0,2223.0,84.0,442.0,-49.0,3037.0,1315.0,24082.0,0.04994476881805271,244.24243431105046,5,6,1,8,1,1,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,25919.0,26705.0,24137.0,27301.0,25584.0,27209.0,22250.0,25240.0,-51.0,-34.0,837.0,3024.0,24101.708333333332,27226.0,21645.0,1802.185665269126,19937.458333333332,2743.1666666666665,-596.0,1782.0,-536.0,258.98605445658563
2023-01-08 06:00:00,23935.0,24889.0,17127.0,-6190.0,3.0,10439.0,2222.0,84.0,344.0,-49.0,2743.0,1341.0,23597.0,0.05191048254248865,238.15813970740004,6,6,1,8,1,1,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,25507.0,26243.0,23276.0,26638.0,24996.0,26516.0,22000.0,24466.0,-51.0,-35.0,787.0,2501.0,24085.25,27226.0,21645.0,1779.6792151103316,20030.416666666668,2742.5,-395.0,2231.0,-897.0,252.89600143679445
2023-01-08 07:00:00,22867.0,24303.0,16643.0,-6042.0,3.0,10776.0,2225.0,81.0,237.0,-49.0,1987.0,1384.0,22968.0,0.05493148993951364,232.16965196878022,7,6,1,8,1,1,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,24749.0,25581.0,22478.0,25800.0,23540.0,25527.0,21761.0,23858.0,-52.0,-36.0,884.0,2133.0,24076.125,27226.0,21645.0,1771.0453634359285,20125.041666666668,2741.7916666666665,-219.0,2271.0,-1383.0,242.2359602721216
2023-01-08 08:00:00,21756.0,23633.0,15637.0,-5998.0,3.0,10075.0,2224.0,81.0,8.0,-49.0,1866.0,1430.0,22252.0,0.05843523886091482,221.03042267819575,8,6,1,8,1,1,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,23513.0,24342.0,21309.0,24429.0,22131.0,24112.0,21239.0,23133.0,-51.0,-36.0,880.0,1930.0,24072.5,27226.0,21645.0,1770.3806026560908,20216.875,2741.1666666666665,-87.0,2204.0,-1400.0,221.30480882550737
2023-01-08 09:00:00,20953.0,22588.0,15666.0,-5137.0,3.0,10151.0,2236.0,82.0,60.0,-49.0,1702.0,1482.0,21155.0,0.06344076500796883,212.02762861201745,9,6,1,8,1,1,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,22341.0,23140.0,20242.0,23001.0,21338.0,23450.0,18953.0,22049.0,-51.0,-36.0,850.0,3132.0,24078.291666666668,27226.0,21645.0,1766.9468996024095,20304.333333333332,2740.5416666666665,139.0,2099.0,-1659.0,207.11427298967854
2023-01-08 10:00:00,20349.0,21750.0,14175.0,-5539.0,3.0,8640.0,2241.0,83.0,-16.0,-49.0,1753.0,1519.0,20280.0,0.06758620689655172,196.2451235250755,10,6,1,8,1,1,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,21390.0,22150.0,20007.0,22409.0,20703.0,22655.0,17735.0,21298.0,-51.0,-35.0,811.0,3598.0,24067.5,27226.0,21645.0,1778.3396017438595,20361.958333333332,2739.9166666666665,-259.0,1383.0,-1494.0,193.561294242548
2023-01-08 11:00:00,19834.0,20841.0,13077.0,-6273.0,3.0,7876.0,2248.0,83.0,-149.0,-49.0,1688.0,1377.0,19513.0,0.06372055083729188,195.88345967671262,11,6,1,8,1,1,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,21094.0,21850.0,19760.0,21903.0,20865.0,22219.0,16999.0,20807.0,-51.0,-35.0,807.0,3843.0,24065.291666666668,27226.0,21645.0,1781.1749780794435,20417.541666666668,2739.2916666666665,-53.0,1334.0,-1734.0,186.26385034737322
2023-01-08 12:00:00,19590.0,20439.0,12659.0,-6271.0,3.0,7512.0,2245.0,82.0,-187.0,-49.0,1761.0,1292.0,19196.0,0.060815108371251037,185.74960615535343,12,6,1,8,1,1,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,20585.0,21215.0,20104.0,21858.0,20204.0,21701.0,16634.0,20301.0,-51.0,-35.0,681.0,3702.0,24038.5,27226.0,21215.0,1820.2273866554447,20437.583333333332,2738.6666666666665,-643.0,481.0,-1336.0,186.65266509235065
2023-01-08 13:00:00,19613.0,19978.0,12546.0,-6278.0,3.0,7398.0,2247.0,80.0,-11.0,-50.0,1823.0,1056.0,18972.0,0.050355390930023024,178.58038075973602,13,6,1,8,1,1,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,20101.0,20855.0,20213.0,21645.0,19507.0,21073.0,16705.0,19927.0,-51.0,-35.0,805.0,3257.0,24005.583333333332,27226.0,20855.0,1871.8052647846246,20432.916666666668,2738.0416666666665,-790.0,-112.0,-885.0,175.48635601401446
